NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_BLOCO;NU_POSICAO;CO_ITEM;TP_SERIE;TP_DISCIPLINA;NU_DESCRITOR_HABILIDADE;DS_GABARITO;TP_RESPOSTA_ITEM;TP_MODELO_TRI;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;NU_PARAM_B1;NU_PARAM_B2;NU_PARAM_B3;NU_PARAM_B4;IN_ITEM_COMUM
2025;22;PI;7;2;114;2;1;D08;A;3;2;0.029980000000000;796.667780000000000;0.230210000000000;;;;;0
2025;22;PI;3;2;117534;2;1;D01;B;3;2;0.019800000000000;613.221470000000000;0.187240000000000;;;;;1
2025;22;PI;10;2;112;2;1;D07;A;3;2;0.013170000000000;837.176860000000000;0.200340000000000;;;;;0
2025;22;PI;2;2;117411;2;1;D01;B;3;2;0.025230000000000;623.313180000000000;0.106540000000000;;;;;1
2025;22;PI;2;3;117537;2;1;D03;C;3;2;0.071710000000000;698.435290000000000;0.264330000000000;;;;;1
2025;22;PI;9;3;110;2;1;D07;A;3;2;0.022600000000000;782.878000000000000;0.169070000000000;;;;;0
2025;22;PI;7;4;109;2;1;D07;A;3;2;0.022860000000000;745.942480000000000;0.173880000000000;;;;;0
2025;22;PI;10;1;108;2;1;D08;D;3;2;0.021670000000000;760.934400000000000;0.117960000000000;;;;;0
2025;22;PI;8;3;107;2;1;D06;A;3;2;0.041550000000000;766.313560000000000;0.256570000000000;;;;;0
2025;22;PI;5;2;103;2;1;D07;D;3;2;0.020330000000000;791.315760000000000;0.134350000000000;;;;;0
2025;22;PI;5;3;104;2;1;D05;C;3;2;0.020300000000000;786.251300000000000;0.148370000000000;;;;;0
2025;22;PI;9;4;100;2;1;D06;C;3;2;0.036870000000000;798.207450000000000;0.234530000000000;;;;;0
2025;22;PI;10;3;111;2;1;D04;D;3;2;0.042250000000000;781.910120000000000;0.183180000000000;;;;;0
2025;22;PI;10;4;113;2;1;D06;A;3;2;0.031760000000000;755.845660000000000;0.194030000000000;;;;;0
2025;22;PI;8;1;50;2;1;D05;B;3;2;0.031100000000000;708.594080000000000;0.235480000000000;;;;;0
2025;22;PI;11;2;47;2;1;D09;;2;3;0.027480000000000;;;662.004130000000000;683.335290000000000;718.009120000000000;770.604060000000000;0
2025;22;PI;8;4;115;2;1;D08;D;3;2;0.028090000000000;772.484520000000000;0.120060000000000;;;;;0
2025;22;PI;12;1;45;2;1;D09;;2;3;0.034030000000000;;;654.057430000000000;666.920410000000000;676.378240000000000;700.292680000000000;0
2025;22;PI;11;1;44;2;1;D09;;2;3;0.026020000000000;;;629.897660000000000;638.244740000000000;644.900940000000000;673.695150000000000;0
2025;22;PI;11;9;43;2;1;D10;;1;3;0.048240000000000;;;749.101860000000000;787.887980000000000;;;0
2025;22;PI;1;2;117474;2;1;D01;C;3;2;0.027600000000000;676.112640000000000;0.083530000000000;;;;;1
2025;22;PI;1;3;121;2;1;D03;A;3;2;0.029230000000000;608.791450000000000;0.205320000000000;;;;;0
2025;22;PI;1;6;123;2;1;D01;B;3;2;0.024730000000000;820.494730000000000;0.301330000000000;;;;;0
2025;22;PI;3;8;117416;2;1;D01;A;3;2;0.023300000000000;649.756400000000000;0.115840000000000;;;;;1
2025;22;PI;4;2;125;2;1;D07;A;3;2;0.031230000000000;751.691860000000000;0.286750000000000;;;;;0
2025;22;PI;3;4;117404;2;1;D02;A;3;2;0.050980000000000;664.132130000000000;0.316640000000000;;;;;1
2025;22;PI;2;5;117350;2;1;D02;A;3;2;0.035970000000000;631.354300000000000;0.106530000000000;;;;;1
2025;22;PI;13;9;43;2;1;D10;;1;3;0.048240000000000;;;749.101860000000000;787.887980000000000;;;0
2025;22;PI;11;8;42;2;1;D10;;1;3;0.057990000000000;;;757.196780000000000;786.891600000000000;824.864870000000000;;0
2025;22;PI;12;8;42;2;1;D10;;1;3;0.057990000000000;;;757.196780000000000;786.891600000000000;824.864870000000000;;0
